strategy_id,total_return,cagr,max_drawdown,sharpe,win_rate,quarters,filter,rank,top
"pl_3",1079.8,20.1,34.9,0.89,64,55,"pl_ratio > 0 AND pl_ratio < 3 AND avg_daily_liquidity > 1e6","pl_ratio ASC",10
"pl_3_t20",2347.0,26.7,27.8,1.14,71,55,"pl_ratio > 0 AND pl_ratio < 3 AND avg_daily_liquidity > 1e6","pl_ratio ASC",20
"pl_5",975.1,19.2,37.6,0.85,64,55,"pl_ratio > 0 AND pl_ratio < 5 AND avg_daily_liquidity > 1e6","pl_ratio ASC",10
"pl_5_t20",1598.4,23.3,37.9,0.97,69,55,"pl_ratio > 0 AND pl_ratio < 5 AND avg_daily_liquidity > 1e6","pl_ratio ASC",20
"pl_8",975.1,19.2,37.6,0.85,64,55,"pl_ratio > 0 AND pl_ratio < 8 AND avg_daily_liquidity > 1e6","pl_ratio ASC",10
"pl_8_t20",1520.2,22.9,40.8,0.95,69,55,"pl_ratio > 0 AND pl_ratio < 8 AND avg_daily_liquidity > 1e6","pl_ratio ASC",20
"pl_10",975.1,19.2,37.6,0.85,64,55,"pl_ratio > 0 AND pl_ratio < 10 AND avg_daily_liquidity > 1e6","pl_ratio ASC",10
"pl_10_t20",1615.7,23.4,40.8,0.96,69,55,"pl_ratio > 0 AND pl_ratio < 10 AND avg_daily_liquidity > 1e6","pl_ratio ASC",20
"pl_15",975.1,19.2,37.6,0.85,64,55,"pl_ratio > 0 AND pl_ratio < 15 AND avg_daily_liquidity > 1e6","pl_ratio ASC",10
"pl_15_t20",1621.0,23.5,40.8,0.96,69,55,"pl_ratio > 0 AND pl_ratio < 15 AND avg_daily_liquidity > 1e6","pl_ratio ASC",20
"ev_3",3387.0,30.1,25.6,1.38,75,55,"ev_ebit > 0 AND ev_ebit < 3 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"ev_3_t20",3206.0,29.6,27.0,1.43,78,55,"ev_ebit > 0 AND ev_ebit < 3 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"ev_5",1775.1,24.2,29.5,1.19,76,55,"ev_ebit > 0 AND ev_ebit < 5 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"ev_5_t20",2423.1,27.0,27.0,1.28,78,55,"ev_ebit > 0 AND ev_ebit < 5 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"ev_8",1671.3,23.7,35.9,1.12,75,55,"ev_ebit > 0 AND ev_ebit < 8 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"ev_8_t20",1568.2,23.2,34.9,1.06,75,55,"ev_ebit > 0 AND ev_ebit < 8 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"ev_10",1671.3,23.7,35.9,1.12,75,55,"ev_ebit > 0 AND ev_ebit < 10 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"ev_10_t20",1536.8,23.0,36.9,1.05,75,55,"ev_ebit > 0 AND ev_ebit < 10 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"ev_15",1671.3,23.7,35.9,1.12,75,55,"ev_ebit > 0 AND ev_ebit < 15 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
