Rebalance dates: 56
Generating strategies...
Total strategies: 6119
100/6119 | ok 100 | 33.2/s | ETA 181s
200/6119 | ok 200 | 45.4/s | ETA 130s
300/6119 | ok 300 | 51.2/s | ETA 114s
400/6119 | ok 400 | 44.0/s | ETA 130s
500/6119 | ok 500 | 37.3/s | ETA 151s
600/6119 | ok 600 | 35.8/s | ETA 154s
700/6119 | ok 700 | 35.1/s | ETA 154s
800/6119 | ok 800 | 35.1/s | ETA 151s
900/6119 | ok 900 | 36.8/s | ETA 142s
1000/6119 | ok 1000 | 34.7/s | ETA 147s
1100/6119 | ok 1100 | 34.1/s | ETA 147s
1200/6119 | ok 1200 | 34.8/s | ETA 141s
1300/6119 | ok 1300 | 35.0/s | ETA 138s
1400/6119 | ok 1400 | 35.2/s | ETA 134s
1500/6119 | ok 1500 | 35.8/s | ETA 129s
1600/6119 | ok 1600 | 36.4/s | ETA 124s
1700/6119 | ok 1700 | 37.1/s | ETA 119s
1800/6119 | ok 1800 | 37.8/s | ETA 114s
1900/6119 | ok 1900 | 37.9/s | ETA 111s
2000/6119 | ok 2000 | 36.1/s | ETA 114s
2100/6119 | ok 2100 | 35.8/s | ETA 112s
2200/6119 | ok 2200 | 36.0/s | ETA 109s
2300/6119 | ok 2300 | 36.4/s | ETA 105s
2400/6119 | ok 2400 | 36.9/s | ETA 101s
2500/6119 | ok 2500 | 37.4/s | ETA 97s
2600/6119 | ok 2600 | 37.7/s | ETA 93s
2700/6119 | ok 2700 | 38.0/s | ETA 90s
2800/6119 | ok 2800 | 38.4/s | ETA 86s
2900/6119 | ok 2900 | 38.6/s | ETA 83s
3000/6119 | ok 3000 | 38.0/s | ETA 82s
3100/6119 | ok 3100 | 37.4/s | ETA 81s
3200/6119 | ok 3200 | 37.0/s | ETA 79s
3300/6119 | ok 3300 | 36.0/s | ETA 78s
3400/6119 | ok 3400 | 35.6/s | ETA 76s
3500/6119 | ok 3500 | 35.3/s | ETA 74s
3600/6119 | ok 3600 | 35.2/s | ETA 72s
3700/6119 | ok 3700 | 34.7/s | ETA 70s
3800/6119 | ok 3800 | 34.6/s | ETA 67s
3900/6119 | ok 3900 | 34.4/s | ETA 64s
4000/6119 | ok 4000 | 34.5/s | ETA 61s
4100/6119 | ok 4100 | 34.5/s | ETA 59s
4200/6119 | ok 4200 | 34.1/s | ETA 56s
4300/6119 | ok 4300 | 33.9/s | ETA 54s
4400/6119 | ok 4400 | 34.3/s | ETA 50s
4500/6119 | ok 4500 | 34.4/s | ETA 47s
4600/6119 | ok 4600 | 34.5/s | ETA 44s
4700/6119 | ok 4700 | 34.1/s | ETA 42s
4800/6119 | ok 4800 | 34.0/s | ETA 39s
4900/6119 | ok 4900 | 33.8/s | ETA 36s
5000/6119 | ok 5000 | 33.6/s | ETA 33s
5100/6119 | ok 5100 | 33.4/s | ETA 31s
5200/6119 | ok 5200 | 33.2/s | ETA 28s
5300/6119 | ok 5300 | 33.0/s | ETA 25s
5400/6119 | ok 5400 | 32.8/s | ETA 22s
5500/6119 | ok 5500 | 32.7/s | ETA 19s
5600/6119 | ok 5600 | 32.6/s | ETA 16s
5700/6119 | ok 5700 | 32.5/s | ETA 13s
5800/6119 | ok 5800 | 32.4/s | ETA 10s
5900/6119 | ok 5900 | 32.4/s | ETA 7s
6000/6119 | ok 6000 | 32.2/s | ETA 4s
6100/6119 | ok 6100 | 32.2/s | ETA 1s

Done. Ran 6119 strategies, 6119 produced results.
Total time: 189.4s
Results: experiments/sweep_results.csv
