strategy_id,category,total_return,cagr,max_drawdown,sharpe,win_rate,alpha_rate,quarters,filter,rank,top
"pl_lt1.5_t5","1.value_pl",1273.00,20.98,35.44,0.907,67.3,58.2,55,"pl_ratio > 0 AND pl_ratio < 1.5 AND avg_daily_liquidity > 1e6","pl_ratio ASC",5
"pl_lt1.5_t10","1.value_pl",1355.72,21.50,35.47,0.965,67.3,63.6,55,"pl_ratio > 0 AND pl_ratio < 1.5 AND avg_daily_liquidity > 1e6","pl_ratio ASC",10
"pl_lt1.5_t15","1.value_pl",3449.42,29.63,29.13,1.071,65.5,69.1,55,"pl_ratio > 0 AND pl_ratio < 1.5 AND avg_daily_liquidity > 1e6","pl_ratio ASC",15
"pl_lt1.5_t20","1.value_pl",3076.59,28.59,27.84,1.119,65.5,67.3,55,"pl_ratio > 0 AND pl_ratio < 1.5 AND avg_daily_liquidity > 1e6","pl_ratio ASC",20
"pl_lt1.5_t30","1.value_pl",3220.26,29.01,30.27,1.179,67.3,69.1,55,"pl_ratio > 0 AND pl_ratio < 1.5 AND avg_daily_liquidity > 1e6","pl_ratio ASC",30
"pl_lt2_t5","1.value_pl",1089.73,19.73,37.59,0.855,67.3,58.2,55,"pl_ratio > 0 AND pl_ratio < 2 AND avg_daily_liquidity > 1e6","pl_ratio ASC",5
"pl_lt2_t10","1.value_pl",1008.10,19.11,34.91,0.853,63.6,61.8,55,"pl_ratio > 0 AND pl_ratio < 2 AND avg_daily_liquidity > 1e6","pl_ratio ASC",10
"pl_lt2_t15","1.value_pl",5539.72,34.07,27.73,1.203,69.1,72.7,55,"pl_ratio > 0 AND pl_ratio < 2 AND avg_daily_liquidity > 1e6","pl_ratio ASC",15
"pl_lt2_t20","1.value_pl",4459.97,32.02,27.84,1.207,69.1,67.3,55,"pl_ratio > 0 AND pl_ratio < 2 AND avg_daily_liquidity > 1e6","pl_ratio ASC",20
"pl_lt2_t30","1.value_pl",3555.51,29.91,29.92,1.206,65.5,69.1,55,"pl_ratio > 0 AND pl_ratio < 2 AND avg_daily_liquidity > 1e6","pl_ratio ASC",30
"pl_lt2.5_t5","1.value_pl",1109.16,19.87,37.59,0.857,65.5,58.2,55,"pl_ratio > 0 AND pl_ratio < 2.5 AND avg_daily_liquidity > 1e6","pl_ratio ASC",5
"pl_lt2.5_t10","1.value_pl",1027.95,19.27,34.91,0.865,63.6,58.2,55,"pl_ratio > 0 AND pl_ratio < 2.5 AND avg_daily_liquidity > 1e6","pl_ratio ASC",10
"pl_lt2.5_t15","1.value_pl",1954.94,24.58,36.18,1.047,63.6,72.7,55,"pl_ratio > 0 AND pl_ratio < 2.5 AND avg_daily_liquidity > 1e6","pl_ratio ASC",15
